loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_accuracy,eval_precision,eval_recall,eval_f1,eval_roc_auc,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0.692714262008667,0.4777267873287201,1.898666666666667e-05,0.05333333333333334,20,,,,,,,,,,,,,,
0.6919086456298829,0.27166998386383057,1.792e-05,0.10666666666666667,40,,,,,,,,,,,,,,
0.6916708946228027,0.44471296668052673,1.6853333333333333e-05,0.16,60,,,,,,,,,,,,,,
0.6904397487640381,0.39174884557724,1.578666666666667e-05,0.21333333333333335,80,,,,,,,,,,,,,,
0.6909395217895508,0.39357221126556396,1.4720000000000001e-05,0.26666666666666666,100,,,,,,,,,,,,,,
0.6939943790435791,0.38252297043800354,1.3653333333333334e-05,0.32,120,,,,,,,,,,,,,,
0.6902791023254394,0.7587738633155823,1.2586666666666668e-05,0.37333333333333335,140,,,,,,,,,,,,,,
0.6897202491760254,0.4107016921043396,1.152e-05,0.4266666666666667,160,,,,,,,,,,,,,,
0.688214111328125,0.48153629899024963,1.0453333333333334e-05,0.48,180,,,,,,,,,,,,,,
0.6845503807067871,0.3118166923522949,9.386666666666668e-06,0.5333333333333333,200,,,,,,,,,,,,,,
0.6811466693878174,0.4833680987358093,8.32e-06,0.5866666666666667,220,,,,,,,,,,,,,,
0.6734764099121093,0.810135543346405,7.253333333333335e-06,0.64,240,,,,,,,,,,,,,,
0.6704925060272217,0.5167009234428406,6.186666666666668e-06,0.6933333333333334,260,,,,,,,,,,,,,,
0.667717170715332,0.6913703083992004,5.12e-06,0.7466666666666667,280,,,,,,,,,,,,,,
0.6508656024932862,1.345824122428894,4.053333333333333e-06,0.8,300,,,,,,,,,,,,,,
0.6611505508422851,1.1499563455581665,2.986666666666667e-06,0.8533333333333334,320,,,,,,,,,,,,,,
0.6464882373809815,1.182088017463684,1.9200000000000003e-06,0.9066666666666666,340,,,,,,,,,,,,,,
0.6594137191772461,0.9068648219108582,8.533333333333334e-07,0.96,360,,,,,,,,,,,,,,
,,,1.0,375,0.6382477879524231,0.776,0.7354085603112841,0.8111587982832618,0.7714285714285715,0.8504444551606629,6.0706,82.364,10.378,,,,,
,,,1.0,375,,,,,,,,,,182.5852,16.431,2.054,7524532824672.0,0.6773515192667643
